id_str,created_at,user_id_str,conversation_id_str,TEXT,LABEL
1789944067490509242,Mon May 13 09:01:35 +0000 2024,1655206864509112321,1789941916844339385,2 pas pembayaran berhasil tampilannya masih dalam status menunggu pembayaran itupun saya coba refresh berulang kali takutnya jaringan saya lemot tapi memang kendalanya di aplikasi kaiaccess nya karna buka sosmed lainpun lancar,
1789890943560126907,Mon May 13 05:30:30 +0000 2024,77761821,1789890943560126907,min app kaiaccess gangguan kah saya cek kereta dari hari ini sampai seminggu tidak muncul tertulis tidak tersedia mohon bantuannya,
1789529460720673225,Sun May 12 05:34:05 +0000 2024,775178204,1789444417126097029,hallo min jika dalam 1 kode booking ada 3 nama dan saya ingin membatalkan hanya untuk 1 nama saja apakah bisa pembatalan dengan aplikasi kaiaccess,
1789422550671315017,Sat May 11 22:29:16 +0000 2024,364710768,1789422550671315017,min kenapa pas mau ngirim otp buat aplikasi kaiaccess bikin member gabisa mulu ya udah beberapa kali,
1788204495052358088,Wed May 08 13:49:09 +0000 2024,70305684,1788100148754837886,ngikutin kaiaccess kemarin,
1788089190582030612,Wed May 08 06:10:58 +0000 2024,2882676835,1788089190582030612,ada roadmap utk improve kai pay di kaiaccess ga ya nunggu 15 menit chance ini di implement kyk cron job agak degdegan sih nunggunya dan error spring nya nih ada baiknya ngga dilempar mentah mentah ke user log error nya balikin ke user general aja error message nya,
1787984001522885072,Tue May 07 23:12:59 +0000 2024,1183031637056995330,1787983987006443802,min kenapa rute ini tidak tersedia padahal di kaiaccess ada kok,
1787830777390227596,Tue May 07 13:04:08 +0000 2024,77430738,1787830777390227596,halo kolom centang reduksi di kaiaccess skrg sebelah mana kok ga ada sampe checkout pun sy mau pesan utk lansia,
1786262350863245475,Fri May 03 05:11:46 +0000 2024,1141565676,1786262350863245475,hi semalam saya order tiket di apps kaiaccess pembayaran via kaipay pembayaran berhasil tapi waktu pelunasan udah habis time out jadinya pemesanan tiket gagal tapi uang tidak kerefund di saldo kaipay tolong cek dm yaa,
1785939418047729976,Thu May 02 07:48:33 +0000 2024,1248357580302237699,1785897078868394071,kak kenapa gabisa tambahkan tiket yg dibeli di klikidm ke kaiaccess ya terus gimana cara batalin reschedule kalo dari klikidm,
1785869123303723287,Thu May 02 03:09:13 +0000 2024,1150248366095233024,1785867830237532410,pake kaiaccess kaak bisa pilih itu tinggal diklik aja jangan langsung diterusin ke pembayaran,
1785312662005690868,Tue Apr 30 14:18:02 +0000 2024,1691423751257370624,1785312662005690868,min ini proses pembatalan via kaiaccess kok dana belum ditransfer balik ke kaipay dari desember,
1784962667675009240,Mon Apr 29 15:07:17 +0000 2024,1253650667249340417,1784962667675009240,wts tiket kereta api dhoho penataran hari rabu 1 mei tulungagung malang dan jumat 3 mei malang tulungagung minat dm zonauang kaiaccess kai wts tiketkereta dhohopenataran tulungagung malang,
1782725575712596333,Tue Apr 23 10:57:53 +0000 2024,1247917252050968577,1782725575712596333,baru 2 hari uts udah buka kaiaccess aja heheehe,
1782622355975758167,Tue Apr 23 04:07:43 +0000 2024,1251581378879090688,1782622355975758167,gimana nih apa gak pengen update kaiaccess kok lemot bener nih app,
